Start	Function name
00401000	ButtonListener_ButtonPress_0
00401010	_New_Almance
00401880	Kill_Almance
004018A0	_Kill_Almance
00401970	Almance_Remove_Plant_Zombie
00401A10	Almance_RemovedFromManager
00401A30	Almance_Add_Plant
00401B20	_New_Plant
00401B70	Almance_Add_Zombie
00401BE0	Almance_TransState
00401D30	Almance_Update
00401E70	Almance_DrawMain
00402060	Almance_DrawPlant
00402C00	Almance_DrawZombie
00403810	Almance_Draw
00403940	Almance_PlantNeedChangeTo
00403A10	Almance_If_ZombieUnlocked
00403B30	Almance_If_PlantUnlocked
00403BB0	Almance_ZombieNeedChangeTo
00403C60	Almance_MouseUp_0
00403D00	Almance_MouseDown
00403E20	String_SetSubstring
00403F00	String_Erase
00403F90	MemMove
00403FC0	String_Resize
00404080	String_ReAlloc
004041C0	??2@YAPAXI@Z_
00404220	Kill_Std_Badalloc
00404250	j_Kill_Std_Badalloc
00404260	_Kill_Std_Exception_
00404280	String_CutLong
004042D0	String_GetStartOtr
004042E0	String_CutShort
00404300	_New_String_Chars
00404330	_New_String_CharsNum
00404400	_New_String_Empty
00404420	_Kill_String
00404450	_New_String_Chars_0
00404490	sub_404490
00404610	sub_404610
00404780	sub_404780
00404890	sub_404890
00404A40	sub_404A40
00404B20	sub_404B20
00404B80	sub_404B80
00404D10	sub_404D10
00404E80	sub_404E80
00404FC0	Kill_AnimAttachment
00405120	sub_405120
004051B0	sub_4051B0
00405200	sub_405200
00405270	sub_405270
00405300	AnimAttachment_Kill
004053A0	sub_4053A0
004053E0	sub_4053E0
00405430	sub_405430
00405480	sub_405480
00405500	sub_405500
00405540	New_AnimAttachment_ByID
004055D0	New_AnimAttachment_ByID_1
00405600	New_AnimAttachment_ByID_0
00405660	AnimAttachmentList_NewAnimAttachment
00405700	AnimAttachmentList_Clear
00405780	_New_Notepage
00406420	Kill_NotePage
00406440	_Kill_Notepage
004064C0	NotePage_Resize
004064D0	NotePage_DrawDescriptionNote
004066A0	NotePage_ShowPlantDescrib
004068D0	NotePage_Draw
004076A0	NotePage_Update
00407740	NotePage_AddedToManager
00407750	NotePage_RemovedFromManager
00407760	NotePage_KeyChar
00407780	Notepage_BtnGo
004079F0	NotePage_MouseDown
00407A70	NotePage_MouseUp_0
00407AE0	Get_Float_NearInt
00407B10	Get_FloatPoint_FloatPoint_Distance
00407B50	_New_Board
00408670	Kill_Board
00408690	_Kill_Board
00408A00	_Kill_MainMenu_Widget
00408A70	Board_KillAdd
00408B00	Board_If_ExistZombieAlive
00408B60	Board_GetZombieAliveCount
00408BF0	Board_Get_StopMowerCount
00408C30	Board_SaveData
00408DA0	Board_If_LevelNoLogic
00408DE0	Board_LoadData
00408E40	Board_GetGridTypeBuilding
00408E90	Board_GetRake
00408ED0	Board_If_GridGraveable
00408F40	Board_NewLadder
00408F80	Board_NewCarter
00408FC0	Board_NewColGrave
00409050	Board_GetFirstHugeWave
00409080	Board_If_WaveIsHuge
004090F0	_New_ZombieListCauculater_
00409170	_New_ZombieListCauculater
00409240	Board_WriteZombieListElement
00409290	Board_WriteZombieList_AdventurnFinalWave_Part
004092E0	Board_SetZombieList
0040A110	Board_CauculateSeed
0040A160	Board_SetBackground
0040A550	Board_InitYard
0040AB10	Board_SetZombieiTypeList
0040ABB0	Board_SpawnInformation_Init
0040ACB0	Board_SetPoolEffectState
0040AD60	Board_EnterNextSeleceCardWnd
0040AE70	Board_GetInitShoveRect
0040AF00	Board_GetInitGardenToolRect
0040AF90	Board_Init
0040B9C0	Board_InitRake
0040BC70	Board_InitMowers
0040BD30	Board_If_LevelHaveSelectCard
0040BE00	Board_RestartLevelInit
0040BF10	Board_GetYMinMower
